Core-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-0,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
28.89,1490.61,0.24,4.23,0.02,0.19,0.16,52.63,9.84,580.34,24.81,1.24,0.10,0.78,0.05,26.97,29.29,4.58,20.46,4.53,26.71,9.35,13.78,3.57,33.84,23.57,9.36,0.95,293032.00,91754.00,31.31,698.75,
3.00,1744.88,0.42,2.36,0.02,0.23,0.23,120.86,28.07,645.88,20.06,1.24,0.10,0.58,0.05,22.01,50.14,8.67,26.54,14.92,44.57,17.09,16.64,10.84,30.83,18.47,6.53,4.08,75944.00,29856.00,39.31,503.21,
4.33,1752.48,0.32,3.09,0.02,0.22,0.17,78.64,17.04,619.64,18.05,1.24,0.07,0.91,0.04,20.31,60.87,12.97,24.86,23.74,51.09,13.22,21.36,16.51,28.82,13.80,6.64,7.23,297103.00,22071.00,7.43,1155.61,
1.91,1730.93,0.68,1.48,0.02,0.16,0.13,43.65,6.90,645.98,21.57,1.66,0.09,1.28,0.17,24.76,84.09,27.27,28.51,29.67,56.54,20.01,17.65,18.88,25.70,8.35,6.19,10.78,14928.00,2595.00,17.38,491.84,
4.50,1671.48,0.35,2.89,0.03,0.16,0.14,61.99,10.21,600.09,23.69,1.16,0.06,0.84,0.06,25.81,49.97,8.02,22.66,19.81,55.07,22.05,19.42,13.59,36.52,20.59,7.13,6.22,242540.00,59080.00,24.36,438.40,
1.11,1482.96,0.57,1.75,0.05,0.15,0.60,300.32,45.84,588.73,27.23,1.55,0.10,0.95,0.12,29.95,59.45,24.52,16.06,37.04,92.56,32.38,26.25,33.94,58.55,43.03,14.82,3.11,126927.00,7132.00,5.62,321.12,
1.09,2173.23,0.48,2.09,0.06,0.37,0.53,236.35,86.31,560.16,12.05,0.71,0.04,0.80,0.09,13.70,56.56,20.01,26.19,10.44,27.29,1.07,17.44,8.78,10.19,5.55,3.00,1.66,524891.00,50802.00,9.68,372.06,
3.73,1891.15,0.42,2.38,0.03,0.27,0.26,93.42,25.15,590.59,26.17,1.21,0.13,1.17,0.04,28.71,68.86,48.18,15.83,5.28,30.88,10.97,15.11,4.79,42.37,34.02,8.20,0.49,129836.00,8475.00,6.53,374.56,
3.14,1818.57,0.59,1.70,0.03,0.25,0.29,89.62,22.35,563.63,16.94,1.79,0.02,1.23,0.04,20.03,50.68,25.75,21.89,3.07,9.13,1.10,5.16,2.86,12.08,9.80,1.77,0.21,251784.00,36175.00,14.37,443.64,
4.77,1646.03,0.58,1.71,0.03,0.14,0.16,46.20,6.58,580.11,24.70,2.05,0.11,1.23,0.16,28.25,63.84,41.68,19.62,5.95,31.64,6.65,22.27,2.72,39.61,25.48,7.46,3.24,342216.00,30787.00,9.00,472.31,
3.07,2170.88,0.54,1.86,0.03,0.31,0.27,96.46,29.93,565.37,4.43,1.22,0.00,1.90,0.05,7.59,48.98,20.98,24.01,4.12,26.14,2.89,19.57,3.68,11.27,8.72,3.22,0.43,278873.00,11828.00,4.24,413.74,
3.60,1498.35,0.20,5.05,0.03,0.35,0.29,124.64,43.85,583.89,25.71,1.25,0.13,0.87,0.10,28.06,49.03,34.53,12.34,2.54,24.37,7.72,14.43,2.22,16.01,12.86,2.79,0.32,181585.00,8308.00,4.58,320.88,
2.06,1493.40,0.54,1.86,0.02,0.26,0.18,82.10,21.01,607.75,33.50,1.41,1.12,1.34,0.24,37.62,41.34,15.55,20.89,5.13,66.10,42.08,19.18,4.85,75.10,66.51,8.28,0.28,114786.00,9083.00,7.91,372.20,
1.21,2166.22,0.69,1.44,0.03,0.22,0.14,49.36,10.92,589.82,24.11,0.21,0.23,0.42,0.10,25.07,38.56,8.27,25.22,5.22,55.97,34.96,16.23,4.77,69.39,65.79,3.07,0.45,18603.00,2071.00,11.13,443.40,
0.24,2198.50,0.75,1.33,0.04,0.20,0.13,47.49,9.39,626.57,17.99,1.72,0.12,0.66,0.07,20.56,38.03,9.35,23.33,5.57,17.47,0.15,12.62,4.70,14.89,7.29,6.72,0.87,246563.00,11840.00,4.80,318.15,
0.34,1775.68,0.67,1.50,0.06,0.08,0.07,27.15,2.05,383.94,21.93,2.18,0.16,0.90,0.07,25.24,89.22,40.81,27.22,21.70,53.11,16.54,20.62,15.94,17.14,5.90,5.48,5.76,82823.00,3817.00,4.61,382.98,
3.83,1780.25,0.69,1.45,0.03,0.22,0.20,105.23,23.14,625.73,21.80,1.91,0.06,1.13,0.06,24.97,92.55,34.89,29.22,29.11,58.34,19.37,20.03,18.93,24.08,8.21,5.69,10.18,250211.00,14710.00,5.88,444.22,
1.02,2091.22,0.54,1.85,0.04,0.22,0.19,97.06,21.23,625.46,21.55,1.92,0.44,0.96,0.17,25.05,162.03,141.40,17.31,9.61,45.40,18.57,18.97,7.87,14.32,6.52,6.06,1.74,217850.00,35892.00,16.48,424.71,
2.33,1799.54,0.63,1.59,0.04,0.22,0.17,91.58,20.26,644.05,22.44,1.69,0.11,1.19,0.08,25.51,173.14,184.55,26.13,15.59,49.73,18.77,18.39,12.57,17.24,7.96,6.25,3.03,30662.00,3316.00,10.81,423.16,
0.27,1756.64,0.52,1.92,0.09,0.23,0.17,93.25,21.67,644.58,21.84,1.50,0.12,0.65,0.06,24.17,72.35,28.62,25.40,18.90,57.41,23.50,19.16,14.75,19.96,9.15,6.66,4.15,268373.00,13634.00,5.08,433.78,
1.38,1819.35,0.64,1.56,0.04,0.15,0.09,40.95,6.30,389.35,29.58,1.80,0.13,0.63,0.12,32.27,81.86,25.46,28.46,28.45,61.20,23.43,18.51,19.26,25.00,9.80,6.01,9.18,284959.00,55707.00,19.55,616.01,
0.29,1779.15,0.48,2.07,0.09,0.28,0.45,384.67,109.42,710.85,27.21,1.70,0.21,0.69,0.07,29.88,95.98,28.56,32.28,35.48,63.69,22.02,19.27,22.40,28.99,9.74,6.17,13.08,170605.00,48871.00,28.65,420.32,
0.28,1778.75,0.49,2.04,0.09,0.28,0.44,382.16,107.29,726.86,24.25,1.88,0.11,0.93,0.12,27.29,81.01,28.04,27.02,26.37,57.44,19.45,20.32,17.68,22.28,7.97,5.61,8.69,234929.00,23512.00,10.01,419.69,
1.73,1764.89,0.48,2.09,0.04,0.29,0.65,633.00,186.70,673.50,22.48,1.63,0.06,1.09,0.26,25.52,96.71,33.12,29.11,35.12,62.44,20.59,20.59,21.26,28.23,8.49,5.87,13.87,174806.00,10266.00,5.87,441.62,
2.96,1799.53,0.70,1.42,0.03,0.23,0.18,88.78,20.48,520.40,23.82,2.02,0.08,0.74,0.08,26.73,105.67,67.79,30.90,7.16,48.40,26.74,18.58,3.08,42.36,26.04,12.12,4.08,92288.00,7824.00,8.48,390.95,
24.82,2199.86,0.96,1.04,0.02,0.46,0.52,153.77,71.48,482.78,19.87,0.36,0.80,0.13,0.17,21.33,68.57,34.24,26.61,7.40,36.54,16.24,14.46,5.84,30.88,22.59,6.55,1.56,689779.00,63624.00,9.22,519.96,
17.70,1513.72,0.91,1.10,0.03,0.40,0.44,146.66,58.33,447.63,23.62,8.33,2.02,0.48,0.02,34.47,48.93,18.51,24.46,4.61,29.58,9.77,15.81,4.01,25.89,18.27,7.52,0.60,322778.00,38816.00,12.03,369.23,
24.87,2158.66,0.92,1.09,0.02,0.41,0.51,200.17,82.18,517.06,29.80,2.33,0.68,0.16,0.01,32.97,110.44,70.36,30.41,9.43,43.61,24.41,14.70,4.50,69.45,47.36,17.25,4.92,528051.00,86695.00,16.42,594.54,
20.97,2136.16,0.87,1.16,0.02,0.38,0.47,187.03,71.46,440.58,33.94,2.22,0.49,0.54,0.50,37.69,114.85,67.65,27.33,20.01,38.79,18.64,8.29,11.86,74.33,48.68,17.39,8.15,782067.00,49781.00,6.37,374.96,
16.54,1568.51,0.91,1.10,0.02,0.38,0.49,211.31,79.48,454.72,31.08,0.80,0.38,0.15,0.01,32.43,118.73,55.53,35.13,28.17,37.15,11.08,9.08,16.99,78.35,48.19,18.98,11.18,423341.00,72338.00,17.09,446.61,
7.10,2030.54,0.70,1.43,0.02,0.43,0.51,171.59,73.16,481.90,23.61,1.37,0.59,0.15,0.06,25.78,94.73,54.70,30.76,9.24,32.37,7.26,19.86,5.26,30.34,16.72,8.15,3.98,526624.00,71598.00,13.60,708.97,
8.84,2032.35,0.81,1.24,0.03,0.41,0.52,196.89,80.27,481.16,29.11,4.59,1.19,0.23,0.02,35.15,108.88,72.28,28.01,8.62,44.28,27.30,12.39,4.59,67.21,48.35,14.84,4.03,665480.00,50322.00,7.56,487.36,
6.43,2199.75,0.72,1.39,0.03,0.19,0.15,51.50,9.65,592.65,25.83,1.33,0.01,0.45,0.04,27.67,50.42,15.67,27.13,7.84,22.78,0.36,15.95,6.47,19.11,10.77,6.96,1.37,485882.00,59158.00,12.18,452.57,
1.46,2198.98,0.65,1.53,0.02,0.24,0.21,125.20,30.37,653.72,22.33,1.75,0.10,0.74,0.05,24.98,74.22,30.09,25.43,19.43,70.35,36.34,19.92,14.09,30.77,17.00,8.42,5.34,552436.00,83959.00,15.20,609.93,
2.44,1756.72,0.70,1.44,0.03,0.21,0.21,109.19,23.24,622.33,24.09,1.59,0.09,0.95,0.05,26.77,66.45,19.99,26.07,20.73,137.48,96.93,25.20,15.35,63.08,50.26,7.43,5.38,815701.00,49675.00,6.09,781.08,
2.28,1759.41,0.88,1.14,0.03,0.21,0.21,105.89,22.13,620.64,23.58,0.79,0.58,0.21,0.14,25.30,78.36,32.28,26.15,20.47,65.83,30.95,19.13,15.75,28.26,18.04,5.51,4.72,492508.00,47362.00,9.62,461.96,
2.28,1759.45,0.76,1.32,0.04,0.27,0.39,314.27,85.36,668.88,23.24,1.72,0.52,1.16,0.21,26.85,75.75,24.93,27.23,24.34,59.83,24.39,18.71,16.73,25.46,9.40,8.45,7.61,146487.00,8403.00,5.74,487.49,
1.40,1810.28,0.63,1.58,0.05,0.28,0.58,536.18,150.85,631.93,26.10,1.97,0.09,0.90,0.09,29.14,74.74,28.55,25.73,21.24,58.85,22.29,21.29,15.28,20.46,7.32,7.18,5.96,606751.00,68690.00,11.32,584.27,
1.04,1811.40,0.78,1.29,0.04,0.22,0.22,121.05,26.53,627.41,23.76,1.76,0.12,0.69,0.04,26.37,66.91,20.16,26.49,20.50,56.16,18.98,21.53,15.65,16.93,6.19,5.88,4.85,242361.00,11135.00,4.59,402.98,
4.08,1759.51,0.72,1.39,0.03,0.21,0.19,97.17,20.43,624.25,25.28,1.45,0.06,0.57,0.04,27.40,69.09,21.93,26.59,20.83,107.48,67.62,24.12,15.74,51.94,39.26,7.56,5.09,685039.00,86863.00,12.68,497.08,
3.79,1740.93,0.76,1.31,0.03,0.23,0.23,123.56,28.11,624.58,21.96,1.32,0.02,0.86,0.05,24.22,75.59,26.32,27.45,22.31,109.99,69.45,24.04,16.50,52.71,39.44,7.44,5.81,635093.00,44872.00,7.07,410.95,
1.51,1759.34,0.80,1.24,0.04,0.22,0.21,120.08,26.88,641.40,31.22,0.92,0.10,0.11,0.07,32.42,153.38,120.08,36.48,31.20,61.06,22.98,17.47,20.61,28.08,12.93,4.55,10.59,582466.00,64636.00,11.10,663.33,
1.27,1761.06,0.70,1.43,0.04,0.28,0.41,375.41,104.91,706.67,24.88,1.49,0.13,0.55,0.09,27.15,67.41,19.08,26.75,21.83,52.07,14.99,21.02,16.06,17.40,6.64,4.99,5.77,463320.00,101989.00,22.01,563.08,
4.12,1778.43,0.72,1.40,0.03,0.23,0.19,103.66,23.60,572.78,21.58,1.67,0.09,0.37,0.03,23.75,77.81,37.42,23.04,18.22,49.75,18.15,17.91,13.70,21.72,11.82,5.37,4.52,464762.00,84763.00,18.24,487.91,
1.84,1828.83,0.66,1.52,0.05,0.29,0.65,619.90,177.40,676.41,26.05,1.56,0.10,0.98,0.10,28.79,71.53,29.47,24.20,18.73,49.95,18.16,17.88,13.91,17.38,7.18,5.38,4.82,354591.00,30547.00,8.61,406.06,
1.95,1950.56,0.76,1.32,0.04,0.24,0.24,130.90,31.16,615.86,24.84,1.81,0.42,1.68,0.19,28.93,74.20,29.63,24.78,20.61,134.30,105.54,14.27,14.49,79.90,69.59,4.15,6.12,400855.00,30291.00,7.56,343.93,
1.58,1759.47,0.74,1.35,0.05,0.23,0.21,114.76,26.28,640.22,25.41,1.46,0.08,0.78,0.07,27.80,82.91,30.56,26.99,26.12,58.90,21.02,20.10,17.78,22.09,8.80,4.93,8.34,740479.00,90526.00,12.23,446.43,
2.13,1759.41,0.62,1.61,0.04,0.28,0.44,369.17,103.39,706.00,27.53,1.31,0.12,0.44,0.06,29.46,77.05,26.68,27.16,23.69,54.77,20.13,17.74,16.89,21.90,10.20,4.90,6.80,664685.00,97416.00,14.66,514.62,
2.53,1759.48,0.79,1.26,0.03,0.24,0.22,129.75,30.74,670.59,20.90,2.13,0.20,0.63,0.07,23.93,80.62,31.60,25.54,24.19,49.12,14.12,18.78,16.22,19.89,6.18,5.74,7.97,244305.00,29233.00,11.97,419.07,
3.05,1919.57,0.66,1.51,0.03,0.23,0.21,120.23,27.66,640.89,20.40,1.55,0.09,0.99,0.12,23.14,151.59,99.81,28.84,26.52,53.02,16.37,19.48,17.17,20.78,5.55,5.87,9.35,307536.00,39715.00,12.91,435.05,
